Country or Territory,Estimated Population 2020,Region,Sub-Region
Malawi,19129955,SUB-SAHARAN AFRICA,Eastern Africa
Malaysia,32365998,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia
Maldives,540542,CENTRAL AND SOUTHERN ASIA,Southern Asia
Mali,20250834,SUB-SAHARAN AFRICA,Western Africa
Malta,441539,EUROPE,Southern Europe
Marshall Islands,59194,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Micronesia
Martinique,375265,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Mauritania,4649660,SUB-SAHARAN AFRICA,Western Africa
Mauritius,1271767,SUB-SAHARAN AFRICA,Eastern Africa
Mayotte,272813,SUB-SAHARAN AFRICA,Eastern Africa
Mexico,128932753,LATIN AMERICA AND THE CARIBBEAN,Central America
Micronesia (Fed. States of),115021,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Micronesia
Monaco,39244,EUROPE,Western Europe
Mongolia,3278292,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia
Montenegro,628062,EUROPE,Southern Europe
Montserrat,4999,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Morocco,36910558,NORTHERN AFRICA AND WESTERN ASIA,Northern Africa
Mozambique,31255435,SUB-SAHARAN AFRICA,Eastern Africa
Myanmar,54409794,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia
Namibia,2540916,SUB-SAHARAN AFRICA,Southern Africa
Nauru,10834,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Micronesia
Nepal,29136808,CENTRAL AND SOUTHERN ASIA,Southern Asia
Netherlands,17134873,EUROPE,Western Europe
New Caledonia,285491,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Melanesia
New Zealand,4822233,AUSTRALIA/NEW ZEALAND,
Nicaragua,6624554,LATIN AMERICA AND THE CARIBBEAN,Central America
Niger,24206636,SUB-SAHARAN AFRICA,Western Africa
Nigeria,206139587,SUB-SAHARAN AFRICA,Western Africa
Niue,1618,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Polynesia
North Macedonia,2083380,EUROPE,Southern Europe
Northern Mariana Islands,57557,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Micronesia
Norway,5421242,EUROPE,Northern Europe
Oman,5106622,NORTHERN AFRICA AND WESTERN ASIA,Western Asia
Pakistan,220892331,CENTRAL AND SOUTHERN ASIA,Southern Asia
Palau,18092,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Micronesia
Panama,4314768,LATIN AMERICA AND THE CARIBBEAN,Central America
Papua New Guinea,8947027,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Melanesia
Paraguay,7132530,LATIN AMERICA AND THE CARIBBEAN,South America
Peru,32971846,LATIN AMERICA AND THE CARIBBEAN,South America
Philippines,109581085,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia
Poland,37846605,EUROPE,Eastern Europe
Portugal,10196707,EUROPE,Southern Europe
Puerto Rico,2860840,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Qatar,2881060,NORTHERN AFRICA AND WESTERN ASIA,Western Asia
